Commodity,Country,Procurement Price,Port,SeaTransport Price,Warehouse,Port to Warehouse Price,Camp,Warehouse to Camp Price,Port Handling Cost,Warehouse Handling Cost,Total Cost
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,Afar,88.4616,30,11.71432,1376.90702
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,Amhara,50.713,30,11.71432,1339.15842
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,Benshangul,58.3692,30,11.71432,1346.81462
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,Gambella,46.77985,30,11.71432,1335.22527
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,Oromiya,63.8685,30,11.71432,1352.31392
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,SNNPR,50.1005,30,11.71432,1338.54592
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,Somali,102.1260884,30,11.71432,1390.571508
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,Tigray,29.34096585,30,11.71432,1317.786386
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,BOKLOMAYO,59.23980876,30,11.71432,1347.685229
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,MELKEDIDA,77.98490186,30,11.71432,1366.430322
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,KOBE,67.70608958,30,11.71432,1356.15151
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,HALEWEYIN,72.06718671,30,11.71432,1360.512607
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,BURAMINO,90.93658782,30,11.71432,1379.382008
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,TONGO,67.71514847,30,11.71432,1356.160568
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,BAMBASI,59.24509311,30,11.71432,1347.690513
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,SHERKOLE,63.08505284,30,11.71432,1351.530473
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,PUGNIDO,77.09486663,30,11.71432,1365.540287
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,JEWII,96.28183191,30,11.71432,1384.727252
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,KULE,80.75188727,30,11.71432,1369.197307
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,TERKIEDI,91.10266734,30,11.71432,1379.548087
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,OKUGO,75.56316054,30,11.71432,1364.008581
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,AYSAITA,17.59436336,30,11.71432,1306.039783
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,DILLO,69.656769,30,11.71432,1358.102189
CHICKPEAS,AUSTRALIA,696.2631,MOMBASA (KENYA),242,<NAZARETH>,308.468,MEGADO,85.92954202,30,11.71432,1374.374962
CHICKPEAS,AUSTRALIA,696.2631,DJIBOUTI (DJIBOUTI),127,<JIJIGA>,78.8181,Somali,75.01248242,23.45,13.77048,1014.314162
