Country,Commodity,Port,Warehouse,Camp,Optimized Quantity (tons),Total Cost,Total Cost ($)
INDIA,SORGHUM/MILLET,DJIBOUTI (DJIBOUTI),<DIRE DAWA>,Oromiya,7897.6436281021415,390.2862853,3082341.9942351994
TURKEY,WHEAT FLOUR,DJIBOUTI (DJIBOUTI),<DIRE DAWA>,Somali,5111.30152321118,535.864043,2738962.6992200017
UKRAINE,WHEAT,DJIBOUTI (DJIBOUTI),<DIRE DAWA>,Somali,4168.756779478812,459.8791377,1917124.273027745
UKRAINE,WHEAT,DJIBOUTI (DJIBOUTI),<KOMBOLCHA>,Amhara,3209.467768778651,434.780843,1395415.102090911
TURKEY,WHEAT FLOUR,DJIBOUTI (DJIBOUTI),<NAZARETH>,SNNPR,2299.0465012219574,526.6397083,1210769.1787716674
INDIA,SORGHUM/MILLET,DJIBOUTI (DJIBOUTI),<KOMBOLCHA>,Amhara,2477.1055388756217,387.0537653,958773.025867295
UKRAINE,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,SNNPR,2117.4671240077964,450.654803,954246.7296287101
ITALY,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<DIRE DAWA>,Oromiya,1037.6169714817063,912.1544649,946466.9533930543
INDONESIA,VEGETABLE OIL,DJIBOUTI (DJIBOUTI),<DIRE DAWA>,Somali,664.0067301871982,1068.346355,709389.1698909616
ITALY,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<DIRE DAWA>,Somali,709.7121718875894,934.0202396,662885.5328334826
INDIA,SORGHUM/MILLET,DJIBOUTI (DJIBOUTI),<KOMBOLCHA>,Tigray,1726.448901693174,344.0877653,594049.9444882437
INDIA,SORGHUM/MILLET,DJIBOUTI (DJIBOUTI),<DIRE DAWA>,Somali,1418.3709441346145,412.15206,584584.5064692263
TURKEY,WHEAT FLOUR,DJIBOUTI (DJIBOUTI),<NAZARETH>,PUGNIDO,1006.8964535614704,553.6340749,557452.1865875954
TURKEY,WHEAT FLOUR,DJIBOUTI (DJIBOUTI),<NAZARETH>,TERKIEDI,949.9373262040647,567.6418756,539224.2055489244
UKRAINE,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,PUGNIDO,1002.3588686731163,477.6491696,478775.88126290945
UKRAINE,WHEAT,DJIBOUTI (DJIBOUTI),<DIRE DAWA>,Oromiya,1071.8140779151404,438.013363,469468.8887783547
TURKEY,WHEAT FLOUR,DJIBOUTI (DJIBOUTI),<NAZARETH>,JEWII,813.3995311854554,572.8210402,465932.3655518449
INDIA,SORGHUM/MILLET,DJIBOUTI (DJIBOUTI),<KOMBOLCHA>,Afar,1177.6587427758388,370.0293653,435768.3171293396
UKRAINE,WHEAT,DJIBOUTI (DJIBOUTI),<NAZARETH>,TERKIEDI,881.0372541328014,491.6569703,433168.1070883643
TURKEY,CORN SOYA BLEND,DJIBOUTI (DJIBOUTI),<DIRE DAWA>,Somali,697.1426785077306,618.0085683,430840.14864538977
